"V1","word","wf","img","os","ps","ons","pns","op_uncond","op_coda","op_onset","log_wf","log_ons","log_pns","word_length"
4724,"state",31804,4.9,0.0247686548740421,0.0068951604392826,17,26,0.02936885,0,0,4.50249539991255,1.25527250510331,1.43136376415899,5
4725,"states",10438,NA,0.0159219689758746,0.0156382652690992,18,15,0.02936885,0,0,4.01865889758552,1.27875360095283,1.20411998265592,6
4726,"staunch",167,1.7,0.152687371216298,0.0737616385253274,1,4,0.462972,0,0,2.22530928172586,0.301029995663981,0.698970004336019,7
4727,"stave",166,NA,-0.0114604924704274,-0.0085374359945066,14,17,0.02936885,0.169925,0,2.22271647114758,1.17609125905568,1.25527250510331,5
4728,"staved",25,NA,NA,NA,11,9,0.02936885,0,0,1.41497334797082,1.07918124604762,1,6
4729,"staves",5,NA,NA,NA,NA,NA,0.02936885,0.169925,0,0.778151250383644,NA,NA,6
4730,"stay",3679,2.6,-5.67539959342716e-05,0.0022785275442565,14,29,0.0832555,0.08246216,0,3.56584781867352,1.17609125905568,1.47712125471966,4
4731,"stayed",1000,NA,0.0133993202775637,-0.0131996428060758,11,31,0.0832555,0,0,3.00043407747932,1.07918124604762,1.50514997831991,6
4732,"stays",467,NA,0.0473752812947709,0.0155583157938942,10,31,0.0832555,0.07594885,0,2.67024585307412,1.04139268515822,1.50514997831991,5
4733,"stead",30,3,-0.0408764991611471,0.0060866318022937,5,19,2.862121,0.8073549,2.169925,1.49136169383427,0.778151250383644,1.30102999566398,5
4734,"steads",0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,6
4735,"steak",199,6.5,0.0461742146493924,0.0416504537411941,8,26,4.862121,3,2.169925,2.30102999566398,0.954242509439325,1.43136376415899,5
4736,"steaks",31,NA,0.130271110730615,0.0389973939594265,7,21,4.862121,2.807355,2.169925,1.50514997831991,0.903089986991944,1.34242268082221,6
4737,"steal",301,3.8,0.0141485994432634,0.0212351211436514,7,24,0.2721575,0,0.8479969,2.48000694295715,0.903089986991944,1.39794000867204,5
4738,"steals",32,NA,0.0387096323528902,0.0099366406579368,6,27,0.2721575,0,0.8479969,1.51851393987789,0.845098040014257,1.44715803134222,6
4739,"stealth",410,2.8,0.0546603628504502,0.0557849559974294,1,3,2.862121,0,2.169925,2.61384182187607,0.301029995663981,0.602059991327962,7
4740,"steam",813,5.6,-0.0004550616488252,0.0327474136855846,9,20,0.2721575,0,0.8479969,2.9106244048892,1,1.32221929473392,5
