D_word,O-S consistency,P-S consistency,O-S consistency: GLoVe,P-S consistency: GLoVe,orth neighborhood size,phon neighborhood size
inflame,0.048429067806349,0.048429067806349,0.443747441091803,0.443747441091803,4,4
inflamed,0.0245170692699455,0.045936442001112,0.390553118174916,0.50362897832683,4,3
inflammation,0.444270962653277,0.444270962653277,0.290587079736159,0.284181163612484,2,1
inflatable,NA,NA,0.361694192496771,0.361694192496771,1,1
inflate,0.299337634176307,0.050921693611586,0.468712798552895,0.220200580020866,4,4
inflated,0.275425635639904,NA,0.41575161192491,NA,4,0
inflation,0.162212409777312,0.162212409777312,0.0660700297446877,0.039708273845178,1,3
inflect,NA,NA,0.190906384795003,0.190906384795003,3,3
inflected,-0.0198905500350788,-0.0198905500350788,0.0273789797167351,0.0273789797167351,2,2
inflecting,NA,NA,0.0792301626730499,0.0792301626730499,2,3
inflection,0.15689420827132,0.15689420827132,0.242183942856769,0.264732500056842,3,4
inflections,0.256143411283681,0.256143411283681,0.305332867145317,0.305332867145317,3,4
inflexible,-0.0611022020516846,NA,0.267374716536794,NA,1,0
inflict,0.030081736080927,0.030081736080927,0.35264717962467,0.35264717962467,2,3
inflicted,-0.0473865115554845,-0.0473865115554845,0.0575214588778414,0.0575214588778414,1,1
inflicting,NA,NA,0.140753462965499,0.140753462965499,1,2
infliction,-0.029156630202987,-0.029156630202987,0.123993046591772,0.123993046591772,2,2
inflow,0.458651971082879,0.458651971082879,0.816300177583659,0.404479403935018,1,2
influence,0.614843880810099,0.595537078026511,0.44168673924349,0.339217086779401,3,2
influenced,0.544025248357691,0.595537078026511,0.462730590342743,0.328047203499292,3,2
influences,0.374655994596643,-0.00269611849262825,0.386736428151958,0.107439031962095,4,1
influential,NA,NA,NA,0.10823914583871,0,1
info,NA,NA,0.147301869140533,0.0961599725782233,2,3
inform,0.130455732995472,0.152603918723783,0.275739894332086,0.319474890012135,2,4
informal,NA,0.385472119537093,NA,0.448482406822271,2,3
informally,NA,0.385472119537093,NA,0.448482406822271,0,2
informant,0.0259449699622214,0.0259449699622214,0.718834497725933,0.718834497725933,1,2
informants,0.0259449699622214,0.0259449699622214,0.718834497725933,0.718834497725933,2,1
information,NA,NA,0.129605077422919,0.129605077422919,2,3
informed,0.0384967530437634,0.173271998432208,0.0733758943877837,0.302442719862771,2,4
informer,0.187445120220737,0.107777089528948,0.379970097304384,0.237590556978753,2,5
informing,NA,0.0217668060157424,NA,0.245912392149619,0,1
informs,0.266869188194785,0.143905391440544,0.485624192894279,0.252484571336772,1,4
infraction,-0.000697828685619799,-0.000697828685619799,0.704225701967282,0.704225701967282,1,1
infrared,NA,NA,0.724439089414141,NA,2,1
infrastructure,0.0225494502013591,0.0225494502013591,0.729547872420264,0.729547872420264,2,2
infringe,0.368908397920197,0.368908397920197,0.536355096491018,0.456286886610155,3,2
infringement,-0.00540618848433398,-0.00540618848433398,0.661539420480208,0.661539420480208,1,1
infringements,-0.00540618848433398,-0.00540618848433398,0.661539420480208,0.661539420480208,1,1
infuriate,NA,NA,0.409446278314535,0.419157013102116,2,1
infuriated,NA,NA,0.427115866796392,NA,2,0
infuse,0.0965331310457727,0.0366825051453036,0.579376319667193,0.169871840513242,3,5
infusion,0.0155595094089393,0.0383570602377592,0.722087256935481,0.43990676616144,1,2
ingenious,-0.00467545836356734,NA,0.341410626762259,NA,1,1
ingenuous,-0.00467545836356734,NA,0.341410626762259,NA,1,0
ingest,0.0825285516462594,0.0739867207715388,0.198972342298809,0.210483550233383,4,5
ingested,0.0529422318140797,0.0438997017719957,0.0712423448693118,0.186788422297371,2,3
ingoing,NA,NA,-0.105459989354861,0.00791397676353823,2,4
ingot,0.793165372977447,0.793165372977447,0.571679942087005,0.571679942087005,1,1
ingrain,NA,NA,0.318621440252254,0.223617094362239,2,2
ingratiate,NA,NA,0.509889920191497,0.478494706404244,2,1
ingredient,0.46439290524214,0.46439290524214,0.727019400975017,0.727019400975017,1,1
ingredients,0.46439290524214,0.46439290524214,0.727019400975017,0.727019400975017,1,1
ingrown,NA,-0.0185659128215326,NA,0.151361681052598,1,4
inhabit,0.0660494407614025,0.0660494407614025,0.384101642847341,0.384101642847341,2,2
inhabitant,0.278849270119584,0.278849270119584,0.398991506621164,0.398991506621164,1,1
inhabitants,0.278849270119584,0.278849270119584,0.398991506621164,0.398991506621164,1,1
inhabited,0.0160339490243093,0.0160339490243093,0.0368283807333478,0.0368283807333478,1,1
inhabiting,-0.0557383138030959,-0.0557383138030959,0.121401395391413,0.121401395391413,1,1
inhalation,NA,-0.0850529031858004,0.190625742977014,0.193140792403833,1,2
inhale,0.603953139520647,0.465366247040956,0.39820024484301,0.317900437240789,3,4
inhaler,0.538585453174445,0.538585453174445,0.395787462817935,0.395787462817935,4,5
inhaling,NA,NA,NA,0.123115730115229,0,1
inherit,0.847989303725356,0.847989303725356,0.544324218154861,0.544324218154861,1,1
inheritance,-0.0227482403536246,NA,0.539905811546459,NA,1,0
inherits,0.847989303725356,0.847989303725356,0.544324218154861,0.544324218154861,1,1
inhibit,0.192784084316737,0.192784084316737,0.417795842881525,0.417795842881525,2,2
inhibited,0.0160339490243093,0.0160339490243093,0.0368283807333478,0.0368283807333478,1,1
inhibiting,-0.0557383138030959,-0.0557383138030959,0.121401395391413,0.121401395391413,1,2
inhibition,0.046606380319797,0.046606380319797,0.356989389162949,0.356989389162949,1,1
inhibitions,0.046606380319797,0.046606380319797,0.356989389162949,0.356989389162949,1,1
inhibitor,0.542521230774396,0.739100731933861,0.635988620725072,0.84537967009965,3,2
inhibitors,0.511015738614408,0.739100731933861,0.595538130723476,0.84537967009965,3,2
inhibitory,0.314436237454943,NA,0.386147081348898,NA,2,0
inhibits,0.189040660562433,0.189040660562433,0.473907430792241,0.473907430792241,2,2
inhuman,0.0440919757967958,0.0440919757967958,0.788499664984058,0.788499664984058,2,2
inhumane,0.0911979406765151,0.0911979406765151,0.788499664984058,0.788499664984058,1,1
inhumanities,NA,-0.027940074065105,NA,NA,0,1
inhumanity,NA,-0.027940074065105,NA,NA,0,1
inimitable,-0.0205956396313646,NA,0.337638114421861,NA,1,0
